bet,win,result
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,4.20,3.20
1.00,3.20,2.20
1.00,30.00,29.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.50,-0.50
1.00,1.40,0.40
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,4.00,3.00
1.00,0.00,-1.00
1.00,1.50,0.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,2.00,1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.50,-0.50
1.00,7.50,6.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,2.10,1.10
1.00,0.50,-0.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.50,-0.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,2.50,1.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,3.00,2.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.50,-0.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,3.00,2.00
1.00,0.00,-1.00
1.00,1.60,0.60
1.00,2.90,1.90
1.00,0.00,-1.00
1.00,18.70,17.70
1.00,1.40,0.40
1.00,0.00,-1.00
1.00,3.00,2.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,9.00,8.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,5.00,4.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,2.10,1.10
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,12.50,11.50
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,3.40,2.40
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,3.00,2.00
1.00,0.00,-1.00
1.00,12.00,11.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,1.60,0.60
1.00,4.50,3.50
1.00,4.90,3.90
1.00,0.00,-1.00
1.00,0.70,-0.30
1.00,0.00,-1.00
1.00,4.20,3.20
1.00,0.00,-1.00
1.00,0.00,-1.00
1.00,5.00,4.00
